id,num_origin,nu
G006961002000620,100,100
G003061001001620,100,100
G065E61004000820,100,100
G221161002000110,100,100
G006561003000620,100,100
G006561014000110,100,100
G006961001001810,100,100
G701161002003620,100,100
G006961001000510,100,100
G003061001001910,100,100
G002061003000120,100,100
G006561002000520,100,100
S003261001000310,100,100
G006561006000220,100,100
G421361001000520,100,100
S003061001000720,100,100
S003261001000110,100,100
G004061002000610,100,100
G065W61001000420,100,100
S000161001000420,100,100
G065E61001001620,100,100
S000161001000520,100,100
G006561006001410,100,100
G006961001001120,100,100
G006561001000610,100,100
G002061002001120,100,100
G065W61003000610,100,100
G351161001000610,100,100
G701161002002610,100,100
G691161001001220,100,100
G221161002000810,100,100
G006561007000320,100,100
G003061006001610,100,100
S003261001000510,100,100
S002761001000820,100,100
G691161001000320,100,100
S003061001000120,100,100
G004061002001610,100,100
G008561002000720,100,100
G065E61002000910,100,100
G000561005000520,100,100
G006961001001310,100,100
G701161001002820,100,100
G008561001001320,100,100
G006961001000410,100,100
G065E61006001120,100,100
G006561013000610,100,100
G003061005000610,100,100
G006561002000910,100,100
S002161001000610,100,100
G065E61004001420,100,100
G701161002000920,100,100
G006961001001720,100,100
S000161001000120,100,100
G002061001000110,100,100
G181261003001210,100,100
G007061005001410,100,100
G002061001000820,100,100
G002061002001010,100,100
G004061002000220,100,100
S003261001000610,100,100
G008561004000110,100,100
G003061001001920,100,100
G006561013000120,100,100
G000561001001320,100,100
G008561002000420,100,100
G008561003000420,100,100
G351161003000620,100,100
G065W61002000620,100,100
S001561001000320,100,100
G004061002001920,100,100
G003061005000110,100,100
G000561003000320,100,100
S002761001000510,100,100
G065E61001000720,100,100
G065W61001001120,100,100
G007061006001210,100,100
G701161002001210,100,100
G003061006001410,100,100
G065E61006000820,100,100
G003061001001310,100,100
G002061001000610,100,100
G000561005001110,100,100
G030N61001000510,100,100
G181261003000110,100,100
G221161002001020,100,100
G030N61001002010,100,100
G003061003002310,100,100
G006561006000820,100,100
G221161001001720,100,100
S002761001000310,100,100
G007061001000910,100,100
G065W61003001320,100,100
S101561001000220,100,100
G000561006000220,100,100
G006561006000320,100,100
G008561001000710,100,100
G065E61002001010,100,100
G006561005000520,100,100
G008561001000410,100,100
G003061001000110,100,100
G006561002000620,100,100
G000561002000410,100,100
G351161003001010,100,100
G300161001002420,100,100
G030N61001001610,100,100
G000561006000520,100,100
G008561002000710,100,100
G008561004000320,100,100
G003061007000420,100,100
S001561001000510,100,100
G300161001002920,100,100
S003261001000720,100,100
G007061001000710,100,100
G002261001001120,100,100
G065E61002000110,100,100
G691161001000310,100,100
G007061001000110,100,100
G008561002000120,100,100
G006561011000810,100,100
G065E61001001020,100,100
G351161002001920,100,100
S003061001001110,100,100
G065E61001000910,100,100
G003061002000410,100,100
G065E61001001420,100,100
G004061002000320,100,100
G221161001000510,100,100
S002761001000710,100,100
G003061001001210,100,100
G351161001000520,100,100
G003061006000310,100,100
G006561004000510,100,100
G065E61003000120,100,100
S002161001000710,100,100
G006561003000420,100,100
G003061006001510,100,100
G000561001000410,100,100
G351161002001420,100,100
G351161002000320,100,100
G065E61005000220,100,100
G006561001000110,100,100
G221161001000620,100,100
G000561006000310,100,100
G351161002000620,100,100
G701161001003110,100,100
G004061002002110,100,100
G701161001002220,100,100
G004061001000210,100,100
G701161002001910,100,100
G007061007000120,100,100
G007061005001020,100,100
G221161001001620,100,100
S003261001000910,100,100
G221161001000320,100,100
G006561007001010,100,100
G007061006002210,100,100
G701161001001620,100,100
G007061006001610,100,100
G691161001001210,100,100
G003061001001120,100,100
G002061003001420,100,100
S002161001000920,100,100
G003061003002620,100,100
S002161001000410,100,100
G221161002001120,100,100
G008561001000920,100,100
G300161001001910,100,100
G065E61001001610,100,100
G351161003001510,100,100
G221161001001420,100,100
G000561003000220,100,100
G006561013000620,100,100
G000561003000520,100,100
G002261001001710,100,100
G004061002001620,100,100
G065E61002000610,100,100
G300161001000320,100,100
G000561001000320,100,100
G006961001000710,100,100
G300161001003410,100,100
G004061001000420,100,100
S003061001000710,100,100
G691161001000510,100,100
G006561013000720,100,100
G351161003001120,100,100
G004061002002010,100,100
G003061001002120,100,100
S002161001000720,100,100
G003061006000810,100,100
G300161001000720,100,100
G030N61001001310,100,100
G008561004000620,100,100
G065E61005001210,100,100
G003061006001310,100,100
G351161003001110,100,100
G221161002000420,100,100
G007061004000320,100,100
G004061001001510,100,100
G007061002001310,100,100
G000561001000310,100,100
G008561004000520,100,100
G351161003002010,100,100
S002861001000310,100,100
G006961001002020,100,100
G003061001000420,100,100
G007061004000410,100,100
G701161001000210,100,100
G181261003001110,100,100
G006561010000220,100,100
S002161001000310,100,100
G030N61001000110,100,100
G002261001001510,100,100
G007061004000520,100,100
G006961001000520,100,100
G006961001000720,100,100
G351161002001220,100,100
G002261001000710,100,100
S101561001000320,100,100
G065W61004000320,100,100
G221161001001320,100,100
G351161002000520,100,100
G006561009000210,100,100
G691161001001010,100,100
G300161001001020,100,100
G181261003000220,100,100
G221161002000610,100,100
G006961002000220,100,100
G221161001001410,100,100
G421361001000610,100,100
G065E61004000110,100,100
G300161001001720,100,100
G006561002000410,100,100
G006561008002120,100,100
G002261001001020,100,100
G065E61005001020,100,100
S002861001000120,100,100
S001561001000410,100,100
G300161001000410,100,100
G007061001000920,100,100
G006561009000220,100,100
G006561006000510,100,100
G065W61004000210,100,100
G065E61006001520,100,100
G006561004000320,100,100
G351161002001210,100,100
G002061001000220,100,100
G065E61004001310,100,100
G701161002003520,100,100
G351161001000720,100,100
G006961001001510,100,100
G004061002001310,100,100
G007061001000810,100,100
G006561007000220,100,100
G003061003001820,100,100
G006561011001220,100,100
G701161001001910,100,100
G002061002001110,100,100
G002061001000510,100,100
G065W61002000710,100,100
G065W61002000520,100,100
G701161001003020,100,100
S002861001000410,100,100
G003061006000920,100,100
G008561002001010,100,100
G006561011000310,100,100
G351161003000210,100,100
G006561009000420,100,100
G000561001000520,100,100
G003061003002210,100,100
G300161001000620,100,100
G006561006000520,100,100
G181261003001610,100,100
G000561001000710,100,100
G000561005001120,100,100
G030N61001002220,100,100
G003061001000610,100,100
G008561001000720,100,100
G351161003000910,100,100
G006961001001420,100,100
G221161002000120,100,100
G002061002000410,100,100
G003061004000110,100,100
S002161001000820,100,100
S002861001000110,100,100
G004061001000320,100,100
S003261001000920,100,100
G003061001000910,100,100
G002061001001010,100,100
G006561005000720,100,100
G065W61004000220,100,100
G003061005000320,100,100
G006561009001010,100,100
G007061004000420,100,100
G065E61001000810,100,100
G006561009000620,100,100
G000561005001320,100,100
G000561001000610,100,100
G004061002000620,100,100
G008561001001220,100,100
G701161002000110,100,100
G006561003000920,100,100
G002261001001820,100,100
G701161001001810,100,100
G003061006000410,100,100
G221161001001820,100,100
G004061001000920,100,100
G181261003000720,100,100
G008561003000810,100,100
G701161001000810,100,100
G000561005000810,100,100
G351161003000120,100,100
G351161003002020,100,100
G006561003000610,100,100
G000561001001710,100,100
G006561008000410,100,100
S003261001000810,100,100
G007061007000110,100,100
G000561001002210,100,100
G065W61002000120,100,100
G701161002001420,100,100
G006561001000710,100,100
G004061001000510,100,100
G006561003001020,100,100
G004061002001210,100,100
G065E61001001120,100,100
G006561009000610,100,100
G006961001001110,100,100
S002761001000220,100,100
G007061004000110,100,100
G701161002000520,100,100
G351161002002410,100,100
G004061002001220,100,100
G351161002002120,100,100
G007061001000220,100,100
G065W61001001520,100,100
G007061001000720,100,100
G008561002001120,100,100
G065E61002000420,100,100
G065E61005001120,100,100
G351161002000910,100,100
G065W61004000310,100,100
G030N61002001810,100,100
G065E61005000620,100,100
G000561004001320,100,100
G181261003000820,100,100
S003061001000510,100,100
S002161001000520,100,100
G003061003001510,100,100
G030N61001001020,100,100
G008561003000210,100,100
G701161002002210,100,100
G002261001000720,100,100
G000561005000820,100,100
G065W61002000320,100,100
G065E61003000520,100,100
G000561001002120,100,100
G000561001001920,100,100
G007061006002320,100,100
S003261001000420,100,100
G300161001000420,100,100
G000561004000920,100,100
G006561008000220,100,100
G351161001000620,100,100
G701161001000720,100,100
G006961001001620,100,100
G006961001001610,100,100
G007061005001310,100,100
G006561003000520,100,100
G000561005000910,100,100
G003061002000610,100,100
G000561001001720,100,100
G701161001003120,100,100
