id,speed_origin,speed
G006961001001010_1.0,53,50
G000561001000510_1.0,52,50
G000561001000910_1.0,51.9,50
G000561001001010_1.0,54.4,50
G000561001001110_1.0,48,48
G000561002000320_1.0,50.2,50
G000561002000220_1.0,51.7,50
G000561002000310_1.0,53.1,50
G000561002000410_1.0,54.8,50
G181261003000510_1.0,57.8,50
G181261003000910_1.0,57.1,50
G065E61001000210_1.0,43.6,43.6
G065E61001000310_1.0,61.2,50
S003261001000120_1.0,37.2,37.2
G065E61001000320_1.0,47.6,47.6
G065E61001000220_1.0,60.9,50
G003061006000620_1.0,54.1,50
G006561009000120_1.0,52.8,50
G000561005000520_1.0,58.9,50
G000561005000420_1.0,64.2,50
G000561005000320_1.0,63.8,50
G000561005000220_1.0,53.1,50
G003061003000210_1.0,60.2,50
G003061003000310_1.0,61,50
G003061003001510_1.0,117.7,50
G003061001001420_1.0,26.7,26.7
G000561005000120_1.0,29.6,29.6
G000561004000720_1.0,48.6,48.6
G000561004000620_1.0,43.4,43.4
G000561004000520_1.0,24.9,24.9
S003261001000210_1.0,48.5,48.5
S003261001000310_1.0,55.8,50
S003261001000410_1.0,55.7,50
S001561001000420_1.0,49.9,49.9
S001561001000320_1.0,55.8,50
G181261003000420_1.0,58,50
G181261003000320_1.0,63.3,50
G181261001000510_1.0,495.5,50
G181261003000410_1.0,57.5,50
G181261003000710_1.0,60.1,50
G181261003000810_1.0,64.5,50
G007061006001420_1.0,51.2,50
G004061002001120_1.0,92.5,50
G004061002001110_1.0,49.6,49.6
G701161002000810_1.0,57.4,50
G701161002000910_1.0,56.3,50
G008561003000420_1.0,63.7,50
G008561003000320_1.0,24.6,24.6
G008561003000220_1.0,50.8,50
G008561001000520_1.0,62.9,50
G008561001000420_1.0,73.1,50
G008561001000320_1.0,47.4,47.4
G003061006000410_1.0,56.8,50
G003061006000610_1.0,44.5,44.5
G003061006000910_1.0,55.8,50
G003061004000110_1.0,53.2,50
G003061005000110_1.0,54.9,50
G003061005000210_1.0,33.2,33.2
G003061005000120_1.0,32.6,32.6
G003061004000120_1.0,53.7,50
